train_number,train_name,train_type,origin_station,destination_station,zone_id,priority,total_stops,avg_speed_kmph
12293,Bilaspur Junction - Hyderabad Deccan Superfast,Superfast,BSP,HYB,SECR,2,5,75
12294,Pune Junction - Barddhaman Junction Freight,Freight,PUNE,BWN,CR,6,6,35
12295,Nagpur Junction - Asansol Junction Shatabdi,Shatabdi,NGP,ASN,CR,1,6,95
12296,Prayagraj Junction - Agra Cantt MEMU,MEMU,PRYJ,AGC,NCR,4,2,45
12297,Raipur Junction - New Jalpaiguri MEMU,MEMU,R,NJP,SECR,4,6,45
12298,Hubballi Junction - Solapur Junction Superfast,Superfast,UBL,SUR,SWR,2,5,75
12299,Jhansi Junction - Ambala Cantt Junction Passenger,Passenger,JHS,UMB,NCR,5,4,40
12300,Pune Junction - KSR Bengaluru City Junction Express,Express,PUNE,SBC,CR,3,4,60
12301,Madurai Junction - Sealdah Express,Express,MDU,SDAH,SR,3,5,60
12302,Dhanbad Junction - Secunderabad Junction Express,Express,DHN,SC,ECR,3,5,60
12303,Sealdah - Asansol Junction MEMU,MEMU,SDAH,ASN,ER,4,3,45
12304,Madgaon Junction - Kharagpur Junction Superfast,Superfast,MAO,KGP,KR,2,6,75
12305,Bilaspur Junction - Amritsar Junction Passenger,Passenger,BSP,ASR,SECR,5,4,40
12306,Madgaon Junction - Delhi Junction (Old Delhi) MEMU,MEMU,MAO,DLI,KR,4,4,45
12307,Mumbai Central - Prayagraj Junction Superfast,Superfast,BCT,PRYJ,WR,2,4,75
12308,Mumbai Central - Asansol Junction Express,Express,BCT,ASN,WR,3,6,60
12309,Prayagraj Junction - Madurai Junction Superfast,Superfast,PRYJ,MDU,NCR,2,5,75
12310,Secunderabad Junction - Kota Junction Shatabdi,Shatabdi,SC,COR,SCR,1,4,95
12311,Kharagpur Junction - Tatanagar Junction Superfast,Superfast,KGP,TATA,SER,2,2,75
12312,Surat - Coimbatore Junction Shatabdi,Shatabdi,ST,CBE,WR,1,6,95
12313,New Jalpaiguri - Jaipur Junction Passenger,Passenger,NJP,JP,NFR,5,6,40
12314,Kota Junction - Ratlam Junction Freight,Freight,COR,RTM,WCR,6,2,35
12315,Mysuru Junction - Asansol Junction Superfast,Superfast,MYS,ASN,SWR,2,7,75
12316,Chennai Egmore - Barddhaman Junction Express,Express,MS,BWN,SR,3,5,60
12317,Kharagpur Junction - Bhubaneswar Express,Express,KGP,BBS,SER,3,4,60
12318,Jabalpur Junction - Kalyan Junction Express,Express,JBP,KYN,WCR,3,4,60
12319,Asansol Junction - Hyderabad Deccan Express,Express,ASN,HYB,ER,3,6,60
